#DICT: <español> <chinese>
me              (pron.)我(宾格人称代词)
mi              (pron.)我们
quién           (pron.)谁
soy             是(第一人称单数)
somos           是(第一人称复数)
eres            是(第二人称单数)
sois            是(第二人称复数)
es              是(第三人称单数)
son             是(第三人称复数)
él              (pron.)他
Pepe            贝贝(男名)
sí              (adv.)是的，对
Paco            巴科(男名)
ella            (pron.)她
Ana             安娜(女名)
no              (adv.)不，不对
Ema             埃玛(女名)
y               (conj.)和
ellas           (pron.)她们
amigo           (m.)朋友
amiga           (f.)朋友
ellos           (pron.)他们
Lola            劳拉(女名)
¡Hola!          你好!
Buenos días.    早上好。你好。
Manolo          马诺罗(男名)
tú              (pron.)你
tu              (pron.)你的
Elena           埃莱娜(女名)
Mucho gusto.    很高兴认识你(双词)
Encantado.      (m.)很高兴认识你
Encantada.      (f.)很高兴认识你

¿Quién eres?    你是谁?
