#DICT: <español> <chinese>
dónde           (adv.)哪里
China           中国
Bolivia         玻利维亚
La Paz          拉巴斯
abogado         (m.)律师
abogada         (f.)律师
Juan            胡安(男名)
Argentina       阿根廷
Buenos Aires    布宜诺斯艾利斯
gerente         (m.;f.)经理
Mario           马里奥(男名)
Cecilia         塞西利亚(女名)
Venezuela       委内瑞拉
Caracas         加拉加斯
funcionario     (m.)公务员，公职人员
funcionaria     (f.)公务员，公职人员
Marcos          马克斯(男人名)
¿Qué tal?       你(您,你们,诸位)好吗?
bien            (adv.)好
muy             (adv.)很,非常
gracias         (f.;pl.)谢谢
Lucía           卢西亚(女名)
yo              (pron.)我(主格人称代词)
Berlín          柏林
italiano        (m.)意大利语;(adj.)意大利的;(m.)意大利人
italiana        (adj.)意大利的;(f.)意大利人
Roma            罗马
éste            (pron.)这个(-e)
Julio           胡里奥(男名)
francés         (m.)法语;(adj.)法国的;(m.)法国人
francesa        (adj.)法国的;(f.)法国人
París           巴黎
Linda           琳达(女名)
inglés          (m.)英语;(adj.)英国的;(m.)英国人
inglesa         (adj.)英国的;(f.)英国人
Londres         伦敦
Madrid          马德里
España          西班牙
México          墨西哥
venezolano      (adj.)委内瑞拉的;(m.)委内瑞拉人
venezolana      (adj.)委内瑞拉的;(f.)委内瑞拉人


¿De dónde eres?     你是哪儿人
Soy de España.      我来自西班牙


nosotros        (m.)我们(主格)
nosotras        (f.)我们(主格)
vosotros        (m.)你们(主格)
vosotras        (f.)你们(主格)

ustedes         (m.;f.)你们诸位
