#DICT: <español> <chinese>
hora             (f.)小时，钟点
día              (m.)天
lunes            (m.)星期一
mañana           (f.)上午;(adv.)明天
martes           (m.)星期二
a                (prep.)表示时间
julio            (m.)七月
veintidós        (num.)二十二
en punto         整点
tener            (tr.)有，拥有
media            (f.)半
cuarto           (m.)一刻钟
miércoles        (m.)星期三
veintisiete      (num.)二十七
octubre          (m.)十月
reloj            (m.)钟，表
clase            (f.)课，课堂
conversación     (f.)谈话，交谈
entonces         (adv.)于是，那么
todavía          (adv.)还，仍然
para             (prep.)为了
tomar            (tr.)喝
café             (m.)咖啡
bueno            (m.;adj.)好
buena            (f.;adj.)好
deprisa          (adv.)快，赶紧
tiempo           (m.)时间，天气
puntual          (adj.)准时的
