#DICT: <español> <chinese>
hacer            (tr.)做，干;(impers.)表天气
viento           (m.)风
calor            (m.)热
verano           (m.)夏天
invierno         (m.)冬天
frío             (m.)冷;(adj.)冷的
llover           (intr.)下雨
Norte            (m.)北，北方
nevar            (intr.)下雪
Sur              (m.)南，南方
suave            (adj.)温和的，柔和的
clima            (m.)气候
duro             (adj.;m.)硬的，坚硬的;(f.)-ra
verdad           (f.)真实，事实
país             (m.)国家
tanto            (adj.)如此的，这样的
estación         (f.)季节，车站
año              (m.)年，年龄
España           西班牙
más              (adv.)更，更加
además           (adv.)除此以外
otoño            (m.)秋天
sol              (m.)太阳
primavera        (f.)春天
a veces          有时

Norte            (m.)北，北方
Este             (m.)东，东方
Sur              (m.)南，南方
Oeste            (m.)西，西方
Noreste          (m.)东北方
Sureste          (m.)东南方
Suroeste         (m.)西南方
Noroeste         (m.)西北方

hago     (tr.)hacer(第一人称单数)
haces    (tr.)hacer(第二人称单数)
hace     (tr.)hacer(第三人称单数)
hacemos  (tr.)hacer(第一人称复数)
hacéis   (tr.)hacer(第二人称复数)
hacen    (tr.)hacer(第三人称复数)

llueve   (intr.)llover(第三人称单数)
nieva    (intr.)nevar(第三人称单数)

¿Qué tiempo hace?    天气怎么样?
