#DICT: <español> <chinese>
adónde            (adv.)去哪里
ir                (intr.)去
correos           (m.;pl.)邮局
mercado           (m.)市场
banco             (m.)银行
supermercado      (m.)超市
tienda            (f.)商店
venir             (intr.)来
oficina           (f.)办公室
trabajar          (intr.)工作
fin de semana     周末
cine              (m.)电影院
¿Diga?            喂?(用于打电话)
por la noche      (在)晚上
por qué           (conj.)为什么
cumpleaños        (m.)生日
dar               (tr.)给，举行
fiesta            (f.)节日，聚会
poder             (tr.)能，能够
por supuesto      当然
invitar           (tr.)邀请
gente             (f.)人，人们
compañero         (m.)同伴，同学
compañera         (f.)同伴，同学
trabajo           (m.)工作
otro              (adj.;m.)另一个
otra              (adj.;f.)另一个
ordenar           (tr.)整理，命令
después           (adv.)然后，以后
comprar           (tr.)买
bebida            (f.)饮料
comida            (f.)食品，食物
tampoco           (adv.)也不
Hasta mañana.     再见，明天见

voy          (intr.)去,ir(第一人称单数)
vamos        (intr.)去,ir(第一人称复数)
vas          (intr.)去,ir(第二人称单数)
vais         (intr.)去,ir(第二人称复数)
va           (intr.)去,ir(第三人称单数)
van          (intr.)去,ir(第三人称复数)

vengo        (intr.)来,venir(第一人称单数)
venimos      (intr.)来,venir(第一人称复数)
vienes       (intr.)来,venir(第二人称单数)
venís        (intr.)来,venir(第二人称复数)
viene        (intr.)来,venir(第三人称单数)
vienen       (intr.)来,venir(第三人称复数)

puedo        (tr.)能,poder(第一人称单数)
podemos      (tr.)能,poder(第一人称复数)
puedes       (tr.)能,poder(第二人称单数)
podéis       (tr.)能,poder(第二人称复数)
puede        (tr.)能,poder(第三人称单数)
pueden       (tr.)能,poder(第三人称复数)

¿Adónde vas?          你去哪儿?
¿De dónde vienes?     你从哪儿过来的?
¡Feliz cumpleaños!    生日快乐!
Hasta el lunes.    周一见
por la mañana      (在)上午
por la tarde       (在)下午
Siempre hay gente buena y gente mala.   总有好人和坏人
Vamos a comer. Te invito.    我们吃饭去吧，我请客。

tarde        (f.)下午，午后
guapa e inteligente          又漂亮又聪明
a las cuatro de la tarde     在下午四点
¿Qué haces?                  你是做什么的?
No sé.                       我不知道。
