#DICT: <español> <chinese>
generalmente        (adv.)通常
abierto             (p.p.;m.)打开着的
abierta             (p.p.;f.)打开着的
todo                (adj.;m.)所有的，全部的;(f.)-da
todos los días      每天(everyday)
excepto             (adv.)除了...之外
horario             (m.)时间表，日程表
normal              (adj.)正常的
por la tarde        (在)下午
desde               (prep.)从...起
hasta               (prep.)到，直至
sin embargo         然而
alguno              (adj.;m.)一些;(f.)-na
almacenes           (m.;pl.)商场，购物中心
continuo            (adj.;m.)连续的，持续的;(f.)-nua
por la mañana       (在)上午
entre               (prep.)在...之间
cerrar              (tr.)关，关闭
antes               (adv.)先，之前，以前
antes de            在...之前
periódico           (m.)报纸
sobre               (prep.)在...之上
ver                 (tr.)看，看见
cuándo              (adv.)什么时候
película            (f.)电影
idea                (f.)主意，想法
perdón              (m.)对不起
despistado          (adj.;m.)糊涂的;(f.)-da
cenar               (tr.;intr.)吃晚饭
hambre              (f.)饿，饥饿

cierro              (tr.)关闭,cerrar(第一人称单数)
cierras             (tr.)关闭,cerrar(第二人称单数)
cierra              (tr.)关闭,cerrar(第三人称单数)
cerramos            (tr.)关闭,cerrar(第一人称复数)
cerráis             (tr.)关闭,cerrar(第二人称复数)
cierran             (tr.)关闭,cerrar(第三人称复数)

¡Buena idea!        好主意！
No tengo hambre.    我不饿。
Hoy voy a trabajar todo el día.    今天我将要工作一整天。
compañero de clase      同学
compañero de trabajo    同事
¿Tienes algún libro interesante?   你有什么有趣的书吗？
¿Tienes el periódico de hoy?       你有今天的报纸吗？
después de              在...之后
además de               除了...还有(besides)


