#DICT: <español> <chinese>
papá            (m.)爸爸
periodista      (m.;f.)记者
viajar          (intr.)旅行
vez             (f.)回，次
escribir        (tr.)写，书写，写信
artículo        (m.)(报刊)文章
viaje           (m.)旅行
mamá            (f.)妈妈
ama de casa     家庭主妇
cocinar         (intr.;tr.)做饭
limpieza        (f.)清扫
cuando          (adv.)当...时候
libre           (adj.)自由的
leer            (tr.)读，看书
secundario      (adj.)第二位，中等的
deberes         (m.;pl.)课外作业
jugar a         踢(球)，打(球，牌)
jugar con       玩...东西
fútbol          (m.)足球
agosto          (m.)八月
vacación        (f.)假期
pueblo          (m.)村镇，人民
tranquilo       (adj.;m.)安静的，宁静的;(f.)-a
regalo          (m.)礼物
felicidad       (f.)幸福，顺利
abrir           (tr.)打开
paquete         (m.)包，包裹
florero         (m.)花瓶
de nada         没关系，别客气
poner           (tr.)放，摆
saber           (tr.)知道
encima          (adv.)在上面，在上方
encima de       在...上面
a propósito     顺便
conocer         (tr.)认识，了解，知道
entrar          (intr.)进入
casado          (p.p.;m.)已婚的
casada          (p.p.;f.)已婚的
feliz           (adj.)幸福的，快乐的


¿Puedes ver qué hay encima?   你能看到上面有什么吗？
vacaciones de verano          暑假

ir de vacaciones      度假

hago     (tr.)hacer(第一人称单数)

gordo     (adj.;m.)胖的;(f.)-a
delgado   (adj.;m.)瘦的;(f.)-a
flaco     (adj.;m.)极瘦的;(f.)-a
joven     (adj.)年轻的
viejo     (adj.;m.)年长的;(f.)-a
pelo largo   长发的
pelo corto   短发的
pelo liso    直发的
pelo rizado  卷发的
feo          (adj.)丑的
llevar barba        大胡子的
llevar bigote       带络腮胡的
bajo         (adj.;m.)矮的;(f.)-a
inteligente  (adj.)聪明的
tonto        (adj.;m.)笨的;(f.)-a
serio        (adj.;m.)严肃的;(f.)-a
gracioso     (adj.;m.)风趣的;(f.)-a
apático      (adj.;m.)漠然的;(f.)-a

ojos         (m.)眼睛(pl.)

ingeniero    (m.)工程师
ingeniera    (f.)工程师

fácil        (adj.)容易的
¡Bravo!      棒级了
