#DICT: <español> <chinese>
levantarse               (prnl.)起床
biblioteca               (f.)图书馆
nacional                 (adj.)国家的,民族的
novela                   (f.)小说
decir                    (tr.)告诉,说
pedir                    (tr.)借得,借来;(tr.)请求,要求
contemporáneo            (adj.;m.)同时代的,当代的;(f.)-nea
acostarse                (prnl.)睡下,躺下
no...hasta...            直到...才...
eso                      (pron.)那(中性代词)
prestar                  (tr.)借出
bicicleta                (f.)自行车
parecer                  (intr.)好像,显得;(intr.)使觉得,认为
efectivamente            (adv.)确实,果真
bibliotecario            (m.)图书馆管理员
bibliotecaria            (f.)图书馆管理员
atender                  (tr.)接待
leído                    (p.p.;m.)畅销的(书)
leída                    (p.p.;f.)畅销的(书)
devolver                 (tr.)还，归还
lavarse                  (prnl.)洗,洗脸
minuto                   (m.)分钟
por favor                请
llevar                   (tr.)带去;(prnl.)拿走,带走
levantado                (p.p.)起床了的
no...sino...             不是...而是...
aeropuerto               (m.)机场
avión                    (m.)飞机
rápido                   (adv.)快
afeitarse                (prnl.)刮胡子
arreglar                 (tr.)收拾,打扮
incluso                  (adv.)甚至
preparar                 (tr.)准备
planchar                 (tr.)熨衣服
camisa                   (f.)男衬衫
dejar                    (tr.)放,放下;(tr.)留,留给
quejarse                 (prnl.)抱怨

Cada vez te pareces más a tu mamá.    你越来越像你妈妈了。
Pareces estar enfermo.                你好像病了。
¿Qué te parezco?                      你觉得我怎么样?

La enfermera levanta al enfermo.      护士扶起病人。
El enfermo no puede levantarse.       病人无力起床。

Encantado de conocerlo.               很高兴认识您。
Allí hay de todo.                     那里什么都有

¿Qué edad tienes?                     你多大年纪了?

ordenador                (m.)电脑
espejo                   (m.)镜子

tenis                    (m.)网球
bailar                   (intr.)跳舞
cantar                   (intr.)唱歌

La música clásica        古典音乐
La música pop            流行音乐

salir                    (intr.)出门
