#DICT: <español> <chinese>
vuelo              (m.)航班
recoger            (tr.)取,拿;(tr.)捡,拾
tarjeta            (f.)卡片
embarque           (m.)登机
azafata            (f.)空姐
mostrador          (m.)售票窗,服务窗
mostrar            (tr.)展示,出示
billete            (m.)(飞机/船/车)票
pasaporte          (m.)护照
maleta             (f.)行李,行李箱
comprobante        (m.)票据
empleado           (m.)职员;(f.)-a
sacar              (tr.)取出
control de pasaportes   检验护照
aduana             (f.)海关
enseñar            (tr.)展示,出示;(tr.)教,教授
tasa               (f.)税
consulado          (m.)领事馆
solicitar          (tr.)申请
visado             (m.)签证
suficiente         (adj.)足够的
dinero             (m.)钱
beca               (f.)奖学金
importante         (adj.)重要的
compañía           (f.)公司
relación           (f.)关系
comercial          (adj.)商业的
carta              (f.)信,证书
admisión           (f.)录取
internacional      (adj.)国际的
cooperación        (f.)合作;协助
resguardo          (m.)回执
dentro de          在...里面,在(一段时间)之后
resultado          (m.)结果

muestro            (tr.)展示,出示,mostrar(第一人称单数)
muestras           (tr.)展示,出示,mostrar(第二人称单数)
muestra            (tr.)展示,出示,mostrar(第三人称单数)
mostramos          (tr.)展示,出示,mostrar(第一人称复数)
mostráis           (tr.)展示,出示,mostrar(第二人称复数)
muestran           (tr.)展示,出示,mostrar(第三人称复数)

salgo              (intr.)出门,salir(第一人称单数)
sales              (intr.)出门,salir(第二人称单数)
sale               (intr.)出门,salir(第三人称单数)
salimos            (intr.)出门,salir(第一人称复数)
salís              (intr.)出门,salir(第二人称复数)
salen              (intr.)出门,salir(第三人称复数)

solo               (adj.)单独的;(f.)-a
Inglaterra         英国
experiencia        (f.)经验,实验,试验
móvil              (m.)手机
beber              (tr.)喝
lengua             (f.)舌头
respuesta          (f.)回答,答复

ojo                (m.)眼睛
nariz              (f.)鼻子
diente             (m.)牙齿
labio              (m.)嘴唇
cabeza             (f.)头;(m.)首领
boca               (f.)口
brazo              (m.)胳膊
pierna             (f.)腿
pelo               (m.)头发
pestaña            (f.)睫毛
oreja              (f.)耳朵
mano               (m.)手
cuello             (m.)颈部
pecho              (m.)胸部
pie                (m.)脚

sueño              (m.)睡意,梦
trozo              (m.)块,段
tarta              (f.)蛋糕

rico               (adj.;m.)可口的,有钱的;(f.)-a
pendiente          (m.)耳坠
collar             (m.)项链,铁环
anillo             (m.)戒指
bolso de mano      手包
licor              (m.)白酒,烈酒
champán            香槟酒
queso              (m.)奶酪
