#DICT: <español> <chinese>
tomar asiento       坐下来
pasar               (intr.)走过,穿过;(intr.)发生
encontrarse         (prnl.)处于(...地点或状态)
doler               (intr.)使感到疼痛
cabeza              (f.)头,头部
garganta            (f.)喉咙
nariz               (f.)鼻子
tapado              (p.p.;m.)堵塞;(f.)-a
apetito             (m.)胃口
quitarse            (prnl.)脱掉(衣物)
abrigo              (m.)外衣,大衣
auscultar           (tr.)听诊
fiebre              (f.)发烧
algo                (pron.)某物,某事;(adv.)一些,稍微
grave               (adj.)严重
doctor              (m.)医生,博士;(f)-a
descansar           (intr.)休息
medicina            (f.)药,药物
medicamento         (m.)药品,药物,药剂
receta              (f.)药方
farmacia            (f.)药店
pastilla            (f.)药片,片
harto               (adj.;m.)对...感到厌倦;(f.)-a
absorbente          (adj.)耗费精力的
pagado              (p.p.;m.)付报酬的;(f.)-a
curso               (m.)课程
nunca               (adv.)从不,决不
preocuparse         (prnl.)操心,发愁
futuro              (m.)未来,将来
gastar              (tr.)花费,耗费(金钱/时间)
manera              (f.)方式,方法
seguir              (intr.)继续

sigo            (intr.)继续,seguir(第一人称单数)
sigues          (intr.)继续,seguir(第二人称单数)
sigue           (intr.)继续,seguir(第三人称单数)
seguimos        (intr.)继续,seguir(第一人称复数)
seguís          (intr.)继续,seguir(第二人称复数)
siguen          (intr.)继续,seguir(第三人称复数)

duele           (intr.)使疼痛(第三人称单数)
duelen          (intr.)使疼痛(第三人称单数)

aprender            (tr.)学习,学会(learn)
olvidar             (tr.;intr.)忘记
divertirse          (prnl.)娱乐
cumplir             (tr.)完成
oferta              (f.)许诺(offer)
alumno              (m.)学生;(f.)-a
mapa                (f.)地图
traer               (tr.)带来
mismo               (adj.;m.)相同的;(f.)-a
dormir              (intr.)睡觉
asunto              (m.)事务
conseguir           (tr.)获得
examen              (m.)考试
aspirina            (f.)阿司匹林
tos                 (f.)咳嗽
gripe               (f.)流感
dolor de muelas     牙痛

píldora             (f.)药丸
estómago            (m.)胃
calmante            (m.)镇静剂
cruzar              (tr.)横跨;穿过
comprender          (tr.)理解

¿Qué te pasa?       你怎么了?
tapar               (tr.)盖
en el futuro        将来
tercer curso        大三
realidad            (f.)现实,实际,真实
en realidad         实际上
empleo              (m.)职位,职业,工作
zona                (f.)地带;区域
vestido             (m.)女式长外衣
palabra             (f.)词,单词
