#DICT: <español> <chinese>
vida             (f.)生命，生活
campo            (m.)农村，田野
capital          (f.)首都，省会
tráfico          (m.)交通
aguantar         (tr.)忍受
aire             (m.)空气
contaminado      (p.p.;m.)被污染的;(f.)-a
ruidoso          (adj.;m.)喧闹的，嘈杂的;(f.)-a
soso             (adj.;m.)平淡的，枯燥的;(f.)-a
imaginar         (tr.)想象，设想
sin              (prep.)不，没有，不包括
prisa            (f.)匆忙，急事
todo el mundo    所有人
bar              (m.)酒吧
demás            (adj.)其余的，剩下的
divertirse       (prnl.)娱乐，消遣
variado          (adj.;m.)多种多样的;(f.)-a
México           墨西哥
¡uf!             (interj.)(表示疲倦，厌烦，气闷等)唉
cubrir           (tr.)补偿，满足
gasto            (m.)花费，开销
naranja          (f.)橙子
kilo             (m.)公斤
manzana          (f.)苹果
costar           (tr.)花费，耗费
coliflor         (f.)菜花
vender           (tr.)卖
docena           (f.)一打;十二个
huevo            (m.)鸡蛋
espárrago        (m.)芦笋
litro            (m.)升(容量单位)
leche            (f.)奶
envidiar         (tr.)羡慕，嫉妒
memoria          (f.)记性，记忆力

me divierto      (prnl.)娱乐,divertirse(第一人称单数)
te diviertes     (prnl.)娱乐,divertirse(第二人称单数)
se divierte      (prnl.)娱乐,divertirse(第三人称单数)
nos divertimos   (prnl.)娱乐,divertirse(第一人称复数)
os divertís      (prnl.)娱乐,divertirse(第二人称复数)
se divierten     (prnl.)娱乐,divertirse(第三人称复数)

cuesta           (tr.)花费,costar(第三人称单数)
cuestan          (tr.)花费,costar(第三人称复数)

cuadro           (m.)图画
allí             (adv.)那里
aquí             (adv.)这里
contar           (tr.)计算，数
comentario       (m.)评论
fuerte           (adj.)强有力的
escuchar         (tr.)听,听从(listen)
Escucha, ¿qué oyes?   听，你听见啥了？

detener          (tr.)逮捕，扣留
debíl            (adj.)虚弱的，体弱的
sello            (m.)邮票
posible          (adj.)可能的
seguro           (adj.;m.)安全的;(f.)-a
museo            (m.)博物馆
político         (adj.;m.)政治的;(f.)-a
cuchillo         (m.)刀
tenedor          (m.)叉
pan              (m.)面包
cerveza          (f.)啤酒
sopa de arroz    粥，稀饭
jengibre         (m.)姜
ajo              (m.)蒜
té               (m.)茶
teatro           (m.)戏院，剧场
