#DICT: <español> <chinese>
pasado          (adj.;m.)过去的;(f.)-a
excursión       (f.)郊游
situado         (p.p.;m.)位于;(f.)-a
kilómetro       (m.)公里 
tardar en       (intr.) 用...时间
coger           (tr.)驶入,乘坐(拉美用tomar);(tr.)拿起
autopista       (f.)高速公路
barrio          (m.)城区
viejo           (adj.;m.)老的,旧的;(f.)-a
famoso          (adj.;m.)著名的;(f.)-a
catedral        (f.)主教堂
templo          (m.)庙
recorrido       (m.)逛,转一圈
lleno de        (adj.;m.)充满;(f.)-a
comercio        (m.)生意,买卖
museo           (m.)博物馆
arte            (amb.)艺术
moderno         (adj.;m.)现代的;(f.)-a
postal          (f.)明信片
enviar          (tr.)寄,送
currículum vitae  个人简历
entrevista      (f.)见面,会见
dato            (m.)资料
personal        (adj.)个人的
sexo            (m.)性别,性
estado civil    婚姻状况
formación       (f.)培养
académico       (adj.;m.)学术的;(f.)-a
profesional     (adj.)职业的
fax             (m.)传真
electrónico     (adj.;m.)电子的;(f.)-a
exactamente     (adv.)确实如此

cojo            (tr.)驶入,乘坐;拿起,coger(第一人称单数)
coges           (tr.)驶入,乘坐;拿起,coger(第二人称单数)
coge            (tr.)驶入,乘坐;拿起,coger(第三人称单数)
cogemos         (tr.)驶入,乘坐;拿起,coger(第一人称复数)
cogéis          (tr.)驶入,乘坐;拿起,coger(第二人称复数)     
cogen           (tr.)驶入,乘坐;拿起,coger(第三人称复数)

trabajé         (intr.)工作,trabajar(第一人称单数过去式)
trabajaste      (intr.)工作,trabajar(第二人称单数过去式)
trabajó         (intr.)工作,trabajar(第三人称单数过去式)
trabajamos      (intr.)工作,trabajar(第一人称复数过去式)
trabajasteis    (intr.)工作,trabajar(第二人称复数过去式)
trabajaron      (intr.)工作,trabajar(第三人称复数过去式)

fui             ser,ir(第一人称单数过去式)
fuiste          ser,ir(第二人称单数过去式)
fue             ser,ir(第三人称单数过去式)
fuimos          ser,ir(第一人称复数过去式)
fuisteis        ser,ir(第二人称复数过去式)
fueron          ser,ir(第三人称复数过去式)

hice            (tr.)做,hacer(第一人称单数过去式)
hiciste         (tr.)做,hacer(第二人称单数过去式)
hizo            (tr.)做,hacer(第三人称单数过去式)
hicimos         (tr.)做,hacer(第一人称复数过去式)
hicisteis       (tr.)做,hacer(第二人称复数过去式)
hicieron        (tr.)做,hacer(第三人称复数过去式)

estuve          estar(第一人称单数过去式)
estuviste       estar(第二人称单数过去式)
estuvo          estar(第三人称单数过去式)
estuvimos       estar(第一人称复数过去式)
estuvisteis     estar(第二人称复数过去式)
estuvieron      estar(第三人称复数过去式)

trabajando      trabajar(副动词)
visitando       visitar(副动词)
haciendo        hacer(副动词)
volviendo       volver(副动词)
escribiendo     escribir(副动词)
levantándose    levantarse(副动词)
acostándose     acostarse(副动词)
poniéndose      ponerse(副动词)


etcétera        (adv.)etc，等等
coma            (f.)逗号
perder          (tr.)丢失，失去;错过;输掉
anciano         (adj.;m.)年老的;(f.)-a
nieto           (m.)孙子;(f.)-a
psicología      (f.)心理学
construcción    (f.)建筑
parar           (tr.)停止;到站
delante         (adv.)在前面;在对面
playa           (f.)沙滩
educación       (f.)教育
regresar        (intr.)返回,回来,回去
destino         (m.)阳性名词
maravilla       (f.)奇迹
realmente       (adv.)着实
soltero         (adj.;m.)单身的;(f.)-a
pantalón        (m.)裤子(阳性!)
calcetín        (m.)袜子(阳性!)
casarse         成婚
final           (adj.)最后的,末尾的
politécnica     (adj.)理工的
licenciado      毕业生
informática     (f.)信息学
prensa          (f.)报纸
sida            艾滋病
pintura         (f.)绘画;描写;颜料;油漆
obra            (f.)作品，成果，工程
maestro         (m.)师傅,大师
semestre        (m.)学期
