#DICT: <español> <chinese>
Camilo José Cela      卡米洛·何塞·塞拉
nacer                 (intr.)出生
morir                 (intr.)死亡
ingresar              (intr.)加入,进入;(tr.)存入
colegio               (m.)学校(中学,学院)
trasladarse           (prnl.)搬家,迁居
volver                回,返回
nota                  (f.)分数,记录,记号
guerra civil          内战
dedicarse             (prnl.)从事,致力于
literatura           (f.)文学
Mallorca              马约卡(西班牙地名)
Padrón                帕德龙(西班牙地名)
época                 (f.)时代,时期
esplendor             (m.)辉煌
creativo              (adj.;m.)创作的;(f.)-a
obra                  (f.)作品
traducido             (p.p.;m.)被翻译的;(f.)-a
Pascual Duarte        帕斯卡尔·杜阿尔特
premio                (m.)奖,奖励
Nobel                 诺贝尔
obtener               (tr.)得到,获得
apasionante           (adj.)令人激动的
realidad              (f.)现实
humano                (adj.;m.)人类的;人;(f.)-a
doctorando            (m.)博士研究生;(f.)-a
Hispanoamérica        (f.)讲西班牙语的美洲国家
tesis                 (f.)论文
a finales de          在...末期
a cambio de           换取(instead of)
exagerar              (tr.)夸张，夸大其词
sábado                (m.)星期六
izquierdo             (adj.;m.)左边的;(f.)-a
a la izquierda de     在...左边

comí                  comer(第一人称单数过去式)
comiste               comer(第二人称单数过去式)
comió                 comer(第三人称单数过去式)
comimos               comer(第一人称复数过去式)
comisteis             comer(第二人称复数过去式)
comieron              comer(第三人称复数过去式)

viví                  vivir(第一人称单数过去式)
viviste               vivir(第二人称单数过去式)
vivió                 vivir(第三人称单数过去式)
vivimos               vivir(第一人称复数过去式)
vivisteis             vivir(第二人称复数过去式)
vivieron              vivir(第三人称复数过去式)

dije                  decir(第一人称单数过去式)
dijiste               decir(第二人称单数过去式)
dijo                  decir(第三人称单数过去式)
dijimos               decir(第一人称复数过去式)
dijisteis             decir(第二人称复数过去式)
dijeron               decir(第三人称复数过去式)

tuve                  tener(第一人称单数过去式)
tuviste               tener(第二人称单数过去式)
tuvo                  tener(第三人称单数过去式)
tuvimos               tener(第一人称复数过去式)
tuvisteis             tener(第二人称复数过去式)
tuvieron              tener(第三人称复数过去式)

pude                  poder(第一人称单数过去式)
pudiste               poder(第二人称单数过去式)
pudo                  poder(第三人称单数过去式)
pudimos               poder(第一人称复数过去式)
pudisteis             poder(第二人称复数过去式)
pudieron              poder(第三人称复数过去式)

quise                 querer(第一人称单数过去式)
quisiste              querer(第二人称单数过去式)
quiso                 querer(第三人称单数过去式)
quisimos              querer(第一人称复数过去式)
quisisteis            querer(第二人称复数过去式)
quisieron             querer(第三人称复数过去式)

morí                  morir(第一人称单数过去式)
moriste               morir(第二人称单数过去式)
murió                 morir(第三人称单数过去式)
morimos               morir(第一人称复数过去式)
moristeis             morir(第二人称复数过去式)
murieron              morir(第三人称复数过去式)

dormí                 dormir(第一人称单数过去式)
dormiste              dormir(第二人称单数过去式)
durmió                dormir(第三人称单数过去式)
dormimos              dormir(第一人称复数过去式)
dormisteis            dormir(第二人称复数过去式)
durmieron             dormir(第三人称复数过去式)

pedí                  pedir(第一人称单数过去式)
pediste               pedir(第二人称单数过去式)
pidió                 pedir(第三人称单数过去式)
pedimos               pedir(第一人称复数过去式)
pedisteis             pedir(第二人称复数过去式)
pidieron              pedir(第三人称复数过去式)

busqué                buscar(第一人称单数过去式)
buscaste              buscar(第二人称单数过去式)
buscó                 buscar(第三人称单数过去式)
buscamos              buscar(第一人称复数过去式)
buscasteis            buscar(第二人称复数过去式)
buscaron              buscar(第三人称复数过去式)

dediqué               dedicar(第一人称单数过去式)
dedicaste             dedicar(第二人称单数过去式)
dedicó                dedicar(第三人称单数过去式)
dedicamos             dedicar(第一人称复数过去式)
dedicasteis           dedicar(第二人称复数过去式)
dedicaron             dedicar(第三人称复数过去式)

matrimonio            夫妻
ejército              (m.)军队
cuenta                (f.)账户
anoche                (adv.)昨晚

pasado mañana         后天
valer                 (tr.)值
pirámide              (f.)金字塔
Egipto                埃及

muralla               (f.)城墙
aperitivo             (adj.;m.)开胃的;(f.)-a
tostada               (f.)吐司
tirar                 (tr.)投,扔
servilleta            (f.)餐巾
máquina               (f.)机器
fumar                 (intr.)吸烟
barra                 (f.)酒吧柜台
mientras              在...时候
sucio                 (adj.;m.)肮脏的,污秽的;(f.)-a
trapo                 (m.)抹布
paisaje               (m.)风景画
bello                 (adj.;m.)美的;(f.)-a
obrero                (m.)工人;(f.)-a
falta                 (f.)不足,缺乏;过失,错误
notar                 (tr.)标明;注释
duda                  (f.)疑问;怀疑
exquisito             (adj.;m.)味美的;优美的;(f.)-a 
comunicar             (tr.)交谈,通信联系
dirección             (f.)地址
nombre                (m.)名
apellido              (m.)姓
procedimiento         (m.)程序;步骤
manual                (adj.)手工的;体力的
diseño                (m.)设计图;描绘
sistema               (m.)体制;系统(阳性!)
incorporación         (f.)混合,搀和
enorme                (adj.)巨大的
pasear                (intr.)散步,闲逛
plaza                 (f.)(小)广场
alrededor             (adv.)大约
pues                  (conj.)既然;那么;因为;可是
exposición            (f.)展览
