#DICT: <español> <chinese>
ducharse       (prnl.)淋浴
vestirse       (prnl.)穿衣服
desayunar      (tr.;intr.)吃早饭
pelo           (m.)头发,毛发
cepillarse     (prnl.)刷(牙)
diente         (m.)牙齿
quince         (num.)十五
a pie          步行
caminar        (intr.)走路
árbol          (m.)树
regreso        (m.)返回,回程
recoger        (tr.)接(人)
despedirse     (prnl.)«de»告别
conducir       (tr.)驾驶
despacio       (adv.)缓慢地
carretera      (f.)公路
suerte         (f.)运气(阴性!)
segundo        (num.)第二的
coche          (m.)轿车
averiarse      (prnl.)坏,出故障
pararse        (prnl.)停止,停住;(intr.)停
aparcar        (tr.)停车
policía        (m.;f.)警察
acercarse      (prnl.)走近,靠近
saludar        (tr.)问候
multa          (f.)罚款
playa          (f.)海滩
hotel          (m.)饭店
alojarse       (prnl.)留宿,暂住
en fin         总之
olvidar        (tr.)忘记
sentir         (tr.)遗憾,抱歉
contento de    高兴
contento con   满意
triste         (adj.)伤心的,悲痛的

conduzco       (tr.)驾驶,conducir(第一人称单数)
conduces       (tr.)驾驶,conducir(第二人称单数)
conduce        (tr.)驾驶,conducir(第三人称单数)
conducimos     (tr.)驾驶,conducir(第一人称复数)
conducís       (tr.)驾驶,conducir(第二人称复数)
conducen       (tr.)驾驶,conducir(第三人称复数)

siento         (tr.)遗憾,抱歉,sentir(第一人称单数)
sientes        (tr.)遗憾,抱歉,sentir(第二人称单数)
siente         (tr.)遗憾,抱歉,sentir(第三人称单数)
sentimos       (tr.)遗憾,抱歉,sentir(第一人称复数)
sentís         (tr.)遗憾,抱歉,sentir(第二人称复数)
sienten        (tr.)遗憾,抱歉,sentir(第三人称复数)
 
di             dar(第一人称单数过去式)
diste          dar(第二人称单数过去式)
dio            dar(第三人称单数过去式)
dimos          dar(第一人称复数过去式)
disteis        dar(第二人称复数过去式)
dieron         dar(第三人称复数过去式)

puse           poner(第一人称单数过去式)
pusiste        poner(第二人称单数过去式)
puso           poner(第三人称单数过去式)
pusimos        poner(第一人称复数过去式)
pusisteis      poner(第二人称复数过去式)
pusieron       poner(第三人称复数过去式)

traje          traer(第一人称单数过去式)
trajiste       traer(第二人称单数过去式)
trajo          traer(第三人称单数过去式)
trajimos       traer(第一人称复数过去式)
trajisteis     traer(第二人称复数过去式)
trajeron       traer(第三人称复数过去式)

leí            leer(第一人称单数过去式)
leíste         leer(第二人称单数过去式)
leyó           leer(第三人称单数过去式)
leímos         leer(第一人称复数过去式)
leísteis       leer(第二人称复数过去式)
leyeron        leer(第三人称复数过去式)

oí             oír(第一人称单数过去式)
oíste          oír(第二人称单数过去式)
oyó            oír(第三人称单数过去式)
oímos          oír(第一人称复数过去式)
oísteis        oír(第二人称复数过去式)
oyeron         oír(第三人称复数过去式)

poesía         (f.)诗歌
distinto       (adj.;m.)不相同的;明显的(f.)-a
jubilarse      (prnl.)退休
maquillarse    (prnl.)化妆
abandonar      (tr.)放弃
espejo         (m.)镜子
presidente     (m.)主席,总统
sitio          (m.)地方,位置,地点
chaqueta       (f.)外衣
aparcar        (tr.)停放(车辆)
azafata        (f.)空姐
regresar       (tr.)返回,回来,回去
embajada       (f.)大使馆
visitar        (tr.)访问;(医生)看病;检查
nadie          (pron.)无人,没有一个人
