#DICT: <español> <chinese>
apartado         (p.p.)偏僻的
en medio de      在...中间
montaña          (f.)山,山脉
contar con       拥有
habitante        (m.)居民
agricultura      (f.)农业
artesanía        (f.)手工业
privación        (f.)匮乏
faltar           (intr.)缺少
Falta una hora para la salida del vuelo.  离起飞还差一小时
constantemente   (adv.)永远
sobrevivir       (intr.)幸存
recordar         (tr.)记得,回忆 
temprano         (adv.)早
quehacer         (m.;pl.)事情,劳动
doméstico        (adj.)家庭的,家务的
lavar            (tr.)洗
en busca de      寻找
graduarse        (prnl.)毕业
informática      (f.)信息业
soler            (tr.)经常干...
edificio         (m.)楼,楼房
acordarse de     记得，想起来
naturalmente     (adv.)当然了
correr           (intr.)跑
recorrido        (m.)逛,转一圈
río              (m.)河,河流
pescar           (tr.)钓鱼
severo           (adj.)严厉的,严肃的
dejar            (tr.)让...干
desde luego      当然,自然
recuerdo         (m.)记忆,回忆
frecuentemente   (adv.)经常
envidia          (f.)嫉妒,羡慕

cuento           (tr.)计算,数,contar(第一人称单数)
cuentas          (tr.)计算,数,contar(第二人称单数)
cuenta           (tr.)计算,数,contar(第三人称单数)
contamos         (tr.)计算,数,contar(第一人称复数)
contáis          (tr.)计算,数,contar(第二人称复数)
cuentan          (tr.)计算,数,contar(第三人称复数)

suelo            (tr.)经常干...,soler(第一人称单数)
sueles           (tr.)经常干...,soler(第二人称单数)
suele            (tr.)经常干...,soler(第三人称单数)
solemos          (tr.)经常干...,soler(第一人称复数)
soléis           (tr.)经常干...,soler(第二人称复数)
suelen           (tr.)经常干...,soler(第三人称复数)

recuerdo         (tr.)记得,回忆,recordar(第一人称单数)
recuerdas        (tr.)记得,回忆,recordar(第二人称单数)
recuerda         (tr.)记得,回忆,recordar(第三人称单数)
recordamos       (tr.)记得,回忆,recordar(第一人称复数)
recordaís        (tr.)记得,回忆,recordar(第二人称复数)
recuerdan        (tr.)记得,回忆,recordar(第三人称复数)

trabajaba        trabajar(第一/三人称单数过去未完成时)
trabajabas       trabajar(第二人称单数过去未完成时)
trabajábamos     trabajar(第一人称复数过去未完成时)
trabajabais      trabajar(第二人称复数过去未完成时)
trabajaban       trabajar(第三人称复数过去未完成时)

iba        ir(第一/三人称单数过去未完成时)
ibas       ir(第二人称单数过去未完成时)
íbamos     ir(第一人称复数过去未完成时)
ibais      ir(第二人称复数过去未完成时)
iban       ir(第三人称复数过去未完成时)

era        ser(第一/三人称单数过去未完成时)
eras       ser(第二人称单数过去未完成时)
éramos     ser(第一人称复数过去未完成时)
erais      ser(第二人称复数过去未完成时)
eran       ser(第三人称复数过去未完成时)


cuando era niño     当我还是小孩的时候

conocido   conocer(过去分词)著名的,广为人知的
divertido  divertirse(过去分词)好玩的,开心的

hecho      hacer(过去分词)
puesto     poner(过去分词)
visto      ver(过去分词)
dicho      decir(过去分词)
muerto     morir(过去分词)
abierto    abrir(过去分词)

policíaco    (adj.;m.)侦探的(小说,电影);(f.)-a
mar          (adj.)海
azul         (adj.)蓝色的
pesca        (f.)捕鱼术
equipo       (m.)球队
múltiple     (adj.)多样的,多重的
incluir      (tr.)包括,装入,列入
despertar    (tr.)唤醒;(intr.)醒
camino       (m.)道路,旅途,方法
cordialidad  (f.)亲切
escuela secundaria    中学
escuela primaria      小学
cultivar     (tr.)耕种,栽植
trigo        (m.)小麦;麦子
maíz         (m.)玉米
mayoría      (f.)大多数
tierra       (f.)土地
Tierra       (f.)地球
aunque       (adv.)虽然,尽管
apenas       (adv.)几乎不
infancia     (f.)童年,幼年

traducción   (f.)翻译
ambulancia   (f.)救护车
recién       (adv.)副词
tren         (m.)列车,火车
recomendar   (tr.)推荐
