#DICT: <español> <chinese>
soy             ser,是(第一人称单数)
somos           ser,是(第一人称复数)
eres            ser,是(第二人称单数)
sois            ser,是(第二人称复数)
es              ser,是(第三人称单数)
son             ser,是(第三人称复数)

estoy          (intr.)estar(第一人称单数)
estamos        (intr.)estar(第一人称复数)
estás          (intr.)estar(第二人称单数)
estáis         (intr.)estar(第二人称复数)
está           (intr.)estar(第三人称单数)
están          (intr.)estar(第三人称复数)

tengo      (tr.)tener(第一人称单数)
tienes     (tr.)tener(第二人称单数)
tiene      (tr.)tener(第三人称单数)
tenemos    (tr.)tener(第一人称复数)
tenéis     (tr.)tener(第二人称复数)
tienen     (tr.)tener(第三人称复数)

hago     (tr.)hacer(第一人称单数)
haces    (tr.)hacer(第二人称单数)
hace     (tr.)hacer(第三人称单数)
hacemos  (tr.)hacer(第一人称复数)
hacéis   (tr.)hacer(第二人称复数)
hacen    (tr.)hacer(第三人称复数)

llueve   (intr.)llover(第三人称单数)
nieva    (intr.)nevar(第三人称单数)

voy          (intr.)去,ir(第一人称单数)
vamos        (intr.)去,ir(第一人称复数)
vas          (intr.)去,ir(第二人称单数)
vais         (intr.)去,ir(第二人称复数)
va           (intr.)去,ir(第三人称单数)
van          (intr.)去,ir(第三人称复数)

vengo        (intr.)来,venir(第一人称单数)
venimos      (intr.)来,venir(第一人称复数)
vienes       (intr.)来,venir(第二人称单数)
venís        (intr.)来,venir(第二人称复数)
viene        (intr.)来,venir(第三人称单数)
vienen       (intr.)来,venir(第三人称复数)

puedo        (tr.)能,poder(第一人称单数)
podemos      (tr.)能,poder(第一人称复数)
puedes       (tr.)能,poder(第二人称单数)
podéis       (tr.)能,poder(第二人称复数)
puede        (tr.)能,poder(第三人称单数)
pueden       (tr.)能,poder(第三人称复数)

empiezo          (intr.)开始,empezar(第一人称单数)
empiezas         (intr.)开始,empezar(第二人称单数)
empieza          (intr.)开始,empezar(第三人称单数)
empezamos        (intr.)开始,empezar(第一人称复数)
empezáis         (intr.)开始,empezar(第二人称复数)
empiezan         (intr.)开始,empezar(第三人称复数)

cierro              (tr.)关闭,cerrar(第一人称单数)
cierras             (tr.)关闭,cerrar(第二人称单数)
cierra              (tr.)关闭,cerrar(第三人称单数)
cerramos            (tr.)关闭,cerrar(第一人称复数)
cerráis             (tr.)关闭,cerrar(第二人称复数)
cierran             (tr.)关闭,cerrar(第三人称复数)


pongo           (tr.)放,摆,poner(第一人称单数)
pones           (tr.)放,摆,poner(第二人称单数)
pone            (tr.)放,摆,poner(第三人称单数)
ponemos         (tr.)放,摆,poner(第一人称复数)
ponéis          (tr.)放,摆,poner(第二人称复数)
ponen           (tr.)放,摆,poner(第三人称复数)

veo             (tr.)看,看见,ver(第一人称单数)
ves             (tr.)看,看见,ver(第二人称单数)
ve              (tr.)看,看见,ver(第三人称单数)
vemos           (tr.)看,看见,ver(第一人称复数)
veis            (tr.)看,看见,ver(第二人称复数)
ven             (tr.)看,看见,ver(第三人称复数)

sé              (tr.)知道,saber(第一人称单数)
sabes           (tr.)知道,saber(第二人称单数)
sabe            (tr.)知道,saber(第三人称单数)
sabemos         (tr.)知道,saber(第一人称复数)
sabéis          (tr.)知道,saber(第二人称复数)
saben           (tr.)知道,saber(第三人称复数)


conozco         (tr.)认识,了解,conocer(第一人称单数)
conoces         (tr.)认识,了解,conocer(第二人称单数)
conoce          (tr.)认识,了解,conocer(第三人称单数)
conocemos       (tr.)认识,了解,conocer(第一人称复数)
conocéis        (tr.)认识,了解,conocer(第二人称复数)
conocen         (tr.)认识,了解,conocer(第三人称复数)

juego           (intr.)玩,jugar(第一人称单数)
juegas          (intr.)玩,jugar(第二人称单数)
juega           (intr.)玩,jugar(第三人称单数)
jugamos         (intr.)玩,jugar(第一人称复数)
jugáis          (intr.)玩,jugar(第二人称复数)
juegan          (intr.)玩,jugar(第三人称复数)

leo           (tr.)读,leer(第一人称单数)
lees          (tr.)读,leer(第二人称单数)
lee           (tr.)读,leer(第三人称单数)
leemos        (tr.)读,leer(第一人称复数)
leéis         (tr.)读,leer(第二人称复数)
leen          (tr.)读,leer(第三人称复数)

escribo           (tr.)写,escribir(第一人称单数)
escribes          (tr.)写,escribir(第二人称单数)
escribe           (tr.)写,escribir(第三人称单数)
escribimos        (tr.)写,escribir(第一人称复数)
escribís          (tr.)写,escribir(第二人称复数)
escriben          (tr.)写,escribir(第三人称复数)

quiero                (tr.)想,爱,querer(第一人称单数)
quieres               (tr.)想,爱,querer(第二人称单数)
quiere                (tr.)想,爱,querer(第三人称单数)
queremos              (tr.)想,爱,querer(第一人称复数)
queréis               (tr.)想,爱,querer(第二人称复数)
quieren               (tr.)想,爱,querer(第三人称复数)

encuentro             (tr.)找到,encontrar(第一人称单数)
encuentras            (tr.)找到,encontrar(第二人称单数)
encuentra             (tr.)找到,encontrar(第三人称单数)
encontramos           (tr.)找到,encontrar(第一人称复数)
encontráis            (tr.)找到,encontrar(第二人称复数)
encuentran            (tr.)找到,encontrar(第三人称复数)

prefiero                (tr.)偏爱,preferir(第一人称单数)
prefieres               (tr.)偏爱,preferir(第二人称单数)
prefiere                (tr.)偏爱,preferir(第三人称单数)
preferimos              (tr.)偏爱,preferir(第一人称复数)
preferís                (tr.)偏爱,preferir(第二人称复数)
prefieren               (tr.)偏爱,preferir(第三人称复数)
