#DICT: <español> <chinese>
sé                 ser(第二人称单数命令式)
sea                ser(第三人称单数命令式)
sean               ser(第三人称复数命令式)


ve                 ir(第二人称单数命令式)
vaya               ir(第三人称单数命令式)
vayan              ir(第三人称复数命令式)

toma               tomar(第二人称单数命令式)
tome               tomar(第三人称单数命令式)
tomen              tomar(第三人称复数命令式)

come               comer(第二人称单数命令式)
coma               comer(第三人称单数命令式)
coman              comer(第三人称复数命令式)

escribe            escribir(第二人称单数命令式)
escriba            escribir(第三人称单数命令式)
escriban           escribir(第三人称复数命令式)

encuentra          encontrar(第二人称单数命令式)
encuentre          encontrar(第三人称单数命令式)
encuentren         encontrar(第三人称复数命令式)

haz                hacer(第二人称单数命令式)
haga               hacer(第三人称单数命令式)
hagan              hacer(第三人称复数命令式)

pon                poner(第二人称单数命令式)
ponga              poner(第三人称单数命令式)
pongan             poner(第三人称复数命令式)

ven                venir(第二人称单数命令式)
venga              venir(第三人称单数命令式)
vengan             venir(第三人称复数命令式)

ten                tener(第二人称单数命令式)
tenga              tener(第三人称单数命令式)
tengan             tener(第三人称复数命令式)

sal                salir(第二人称单数命令式)
salga              salir(第三人称单数命令式)
salgan             salir(第三人称复数命令式)

di                 decir(第二人称单数命令式)
diga               decir(第三人称单数命令式)
digan              decir(第三人称复数命令式)

paga               pagar(第二人称单数命令式)
pague              pagar(第三人称单数命令式)
paguen             pagar(第三人称复数命令式)

saca               sacar(第二人称单数命令式)
saque              sacar(第三人称单数命令式)
saquen             sacar(第三人称复数命令式)

empieza            empezar(第二人称单数命令式)
empiece            empezar(第三人称单数命令式)
empiecen           empezar(第三人称复数命令式)

recoge             recoger(第二人称单数命令式)
recoja             recoger(第三人称单数命令式)
recojan            recoger(第三人称复数命令式)

da                 dar(第二人称单数命令式)
dé                 dar(第三人称单数命令式)
den                dar(第三人称复数命令式)

sirve              servir(第二人称单数命令式)
sirva              servir(第三人称单数命令式)
sirvan             servir(第三人称复数命令式)
