#DICT: <español> <chinese>
tomemos            tomar(第一人称复数命令式)
tomad              tomar(第二人称复数命令式)

comamos            comer(第一人称复数命令式)
comed              comer(第二人称复数命令式)

vivamos            vivir(第一人称复数命令式)
vivid              vivir(第二人称复数命令式)

hagamos            hacer(第一人称复数命令式)
haced              hacer(第二人称复数命令式)

pongamos           poner(第一人称复数命令式)
poned              poner(第二人称复数命令式)

vengamos           venir(第一人称复数命令式)
venid              venir(第二人称复数命令式)

pidamos            pedir(第一人称复数命令式)
pedid              pedir(第二人称复数命令式)

seamos             ser(第一人称复数命令式)
sed                ser(第二人称复数命令式)

vayamos            ir(第一人称复数命令式)
id                 ir(第二人称复数命令式)

levántate          levantarse(第二人称单数命令式)
levántese          levantarse(第三人称单数命令式)
levántense         levantarse(第三人称复数命令式)
levantémonos       levantarse(第一人称复数命令式)
levantaos          levantarse(第二人称复数命令式)

ponte           ponerse(第二人称单数命令式)
póngase         ponerse(第三人称单数命令式)
pónganse        ponerse(第三人称复数命令式)
pongámonos      ponerse(第一人称复数命令式)
poneos          ponerse(第二人称复数命令式)

sírvete         serivrse(第二人称单数命令式)
sírvase         servirse(第三人称单数命令式)
sírvanse        servirse(第三人称复数命令式)
sirvámonos      servirse(第一人称复数命令式)
servíos         servirse(第二人称复数命令式)
